,title,region,number_of_rooms,quadrat,price
48,Banese me qira ne Qender,Prishtine,1,60.0,250.0
49,Banese me qira ne lagjen Aktash,Prishtine,1,60.0,350.0
50,Banese me qira ne lagjen Lakrishte,Prishtine,1,67.0,300.0
51,Banese me qira te Qafa,Prishtine,1,60.0,250.0
52,Banese me qira ne lagjen Pejton,Prishtine,1,64.0,300.0
53,Banese me qira ne lagjen Bregu i diellit,Prishtine,1,60.0,250.0
54,Banese me qira ne lagjen Mati 1,Prishtine,2,65.0,250.0
55,Super Banese me qira ne lagjen Emshir,Prishtine,2,85.0,350.0
56,Super Banese me qira ne lagjen Arberia,Prishtine,1,67.0,300.0
57,Banese me qira ne lagjen Bregu i diellit,Prishtine,2,90.0,250.0
58,Banese me qira te Rruga B,Prishtine,2,82.0,350.0
59,Banese me qira ne lagje te Spitalit,Prishtine,1,59.0,200.0
60,Banese me qira ne lagjen Arberia,Prishtine,2,85.0,300.0
61,"Banes�/Garsoniere me #qira n� lagjen Qender, prapa Hotel Sirius #3443",Prishtine,1,20.0,200.0
62,Banes me qira ne Lakrishte 2+1,Prishtine,2,85.0,350.0
63,Banes komode me qira ne Pejton,Prishtine,1,40.0,200.0
64,Banes me qira ne Arberi moderne,Prishtine,2,75.0,300.0
65,Banes me qira ne Ulpiane e renovuar,Prishtine,1,60.0,300.0
66,Banes (penthause) me qira mrapa Teatrit,Prishtine,2,100.0,350.0
67,Banes me qira te Slovenia Sporti,Prishtine,1,60.0,250.0
68,Banese komode me qira ne Dardani,Prishtine,1,60.0,220.0
69,Banes me qira te Sllovenia Sportit,Prishtine,2,70.0,320.0
70,Super banese me qira te Sllovenia Sporti,Prishtine,2,100.0,500.0
71,Super banese me qira ne lagjen Sllovenia Sporti,Prishtine,2,100.0,500.0
72,Garsoniere me qira te Sllovenia Sporti,Prishtine,1,45.0,200.0
73,Banes me qira ne Dardani e renovuar,Prishtine,1,65.0,250.0
74,Banese moderne me qira ne Lagjen Muhaxhereve,Prishtine,2,90.0,400.0
75,Banes komode me qira ne Mati 1,Prishtine,1,65.0,200.0
76,Banese komode me qira ne Lagje te Spitalit,Prishtine,1,60.0,250.0
77,Banes me qira te Parku i Qytetit 2+1,Prishtine,2,85.0,500.0
78,Banes me qira ne Tophane,Prishtine,1,40.0,250.0
79,Banese moderne me qira ne lagjen Sllovenia Sporti,Prishtine,1,65.0,300.0
80,Banese moderne me qira Mrapa Teatrit,Prishtine,2,80.0,300.0
81,Banese me qira ne lagjen Arberia 2+1,Prishtine,2,110.0,350.0
82,Banes komode me qira ne Ulpian,Prishtine,1,65.0,250.0
83,Banes me qira te Sllovenia Sporti,Prishtine,1,65.0,250.0
84,Banese komode ne lagjen Sllovenia Sporti,Prishtine,1,55.0,250.0
85,Banes me qira ne Breg te Diellit 2+1,Prishtine,2,90.0,280.0
86,Banes me qira te 4Llullat,Prishtine,1,65.0,270.0
87,Banes ekskluzive me qira ne Breg te Diellit 2+1,Prishtine,2,75.0,400.0
88,Super banes me qira ne Arberi,Prishtine,2,85.0,350.0
89,Banes moderne me qira te 4 Llullat,Prishtine,2,75.0,450.0
90,Banes me qira ne Lagje e Spitalit moderne,Prishtine,1,65.0,260.0
91,Banes me qira ne Lagjen e Muhaxhereve,Prishtine,1,61.0,250.0
92,Banes moderne me qira ne Mati 1,Prishtine,2,80.0,300.0
93,Banese komode me qira ne Breg te Diellit,Prishtine,1,60.0,230.0
94,Banese komode me qira ne Lagje te Spitalit,Prishtine,2,75.0,250.0
95,Super ofert banes me qira ne Arberi 2+1,Prishtine,2,83.0,300.0
96,Banes moderne me qira ne Tophane,Prishtine,1,72.0,300.0
97,Banes moderne me qira ne Emshir,Prishtine,2,80.0,300.0
98,Banes moderne me qira ne Dardani,Prishtine,2,85.0,300.0
99,Banes me qira ne Ulpiane,Prishtine,2,65.0,250.0
100,Banes komode me qira te Qafa,Prishtine,1,65.0,250.0
101,Banes me qira ne Ulpiane- Fontana,Prishtine,1,60.0,200.0
102,Banes me qira te Qafa,Prishtine,1,60.0,250.0
103,Banes me qera ne Dardani te posta e madhe,Prishtine,3,100.0,400.0
104,Banes komode me qira ne Ulpiane,Prishtine,1,65.0,250.0
105,Banes moderne me qira ne Tophane,Prishtine,2,75.0,250.0
106,Super Banes me qira ne Lagje te Spitalit,Prishtine,2,75.0,300.0
107,Banes moderne me qira ne Lagje te Spitalit,Prishtine,1,65.0,300.0
108,Banes me qira ne Mati 1 e pa banuar me pare,Prishtine,2,75.0,250.0
109,Banes me qira te Parku i Qytetit,Prishtine,1,65.0,220.0
110,Banes me qira ne Mati 1 2+1,Prishtine,2,75.0,250.0
111,Banes me qira ne Ulpiane 2+1,Prishtine,2,75.0,300.0
112,Banes komode me qira ne Mati 1,Prishtine,1,70.0,230.0
113,Banes moderne me qira ne Dardani,Prishtine,1,65.0,300.0
114,Banes komode me qira ne Dardani,Prishtine,1,60.0,300.0
115,Banes komode me qira ne Ulpiane,Prishtine,1,45.0,250.0
116,Banes me qira Mrapa Teatrit Kombetare 2+1,Prishtine,2,100.0,300.0
117,Banes me qira ne Dardani 3+1,Prishtine,3,100.0,300.0
118,Banes moderne me qira te Sllovenia Sporti,Prishtine,2,80.0,300.0
119,Banes moderne me qira ne Lagje te Spitalit,Prishtine,2,80.0,280.0
120,Banes me qira ne Arberi-Komuna e re,Prishtine,1,60.0,300.0
121,Leshohet me qira super banese ne lagjen Dardania,Prishtine,5,140.0,800.0
122,Ipet banese me qira te rruga B,Prishtine,2,90.0,220.0
123,Leshohet banese me qira ne lagjen Dardania,Prishtine,2,75.0,300.0
124,Super banese me qira ne lagjen Pejton,Prishtine,2,80.0,450.0
125,Leshohet banese me qira ne lagjen e Muhaxherve,Prishtine,1,60.0,250.0
126,Super banese me qira ne lagjen e Spitalit,Prishtine,2,106.0,500.0
127,Leshohet banese me qira te Qafa,Prishtine,2,85.0,270.0
128,Leshohet banese me qira afer parkut te qytetit,Prishtine,2,75.0,250.0
129,Leshohet banese me qira ne Lagjen e Spitalit,Prishtine,1,73.0,250.0
130,Banese me qira ne Lagjen e Spitalit,Prishtine,1,60.0,250.0
131,Banes Komode me Qira ne Mat te Shk.F. Pavarsia,Prishtine,2,90.0,430.0
132,Super Banes me Qira ne Fushe Kosove Perball Bau Marketit,Fushe Kosove,2,76.0,250.0
133,Banes 3 Dhomshe me Qira ne Tophane,Prishtine,3,100.0,550.0
134,Leshohet me qira banesa ne lagjen Mati 1,Prishtine,1,55.0,220.0
135,Super banese me qira ne Qender,Prishtine,3,130.0,700.0
136,Super Banes me Qira ne Aktash te Pika Luxury,Prishtine,1,45.0,350.0
137,Super Banes me Qira ne Dardani te Narteli - 130 M2,Prishtine,2,130.0,630.0
138,Banese me qira te Parku i qytetit,Prishtine,1,70.0,250.0
139,Banes Komode me Qira ne Mat te Super Viva 2,Prishtine,1,72.0,350.0
140,Banese ( garsoniere ) me qira ne lagjen Mati 1,Prishtine,1,45.0,200.0
141,Ipet banese me qira ne lagjen Pejton,Prishtine,2,73.0,380.0
142,Leshohet banese me qira ne lagjen Arberia,Prishtine,2,95.0,350.0
143,Leshohet banese me qira ne lagjen Ulpiana,Prishtine,2,72.0,250.0
144,Super banese me qira ne lagjen Lakrishte,Prishtine,1,60.0,300.0
145,Banes Komode me Qira ne Fushe Kosove Afer Fures Vlora,Fushe Kosove,1,65.0,190.0
146,Banes Komode me Qira ne Arberi Afer Qafes te Pandora,Prishtine,2,85.0,350.0
147,Leshohet banese me qira ne Qender,Prishtine,2,75.0,400.0
148,Leshohet banese me qira ne Lagjen e Spitalit,Prishtine,1,65.0,250.0
149,Leshohet banese me qira ne Qender,Prishtine,1,50.0,250.0
150,Banese me qira ( per zyre ) ne Qender,Prishtine,1,54.0,300.0
151,Banese me qira ne Qender,Prishtine,3,100.0,350.0
152,Super banese me qira ne Rrugen B,Prishtine,2,90.0,400.0
153,Banese ( garsoniere ) me qira te Bregu i diellit,Prishtine,1,35.0,200.0
154,Ipet banese me qira ne lagjen Bregu i diellit,Prishtine,2,75.0,300.0
155,Banes me qira ne Qender 2+1,Prishtine,2,80.0,400.0
156,Banese me qira ne Mati 1,Prishtine,2,76.0,300.0
157,Super banese me qira ne Emshir 3+1,Prishtine,3,115.0,300.0
158,Leshohet banese me qira ne Arberi,Prishtine,1,60.0,300.0
159,Banes me qira ne Mati 1,Prishtine,1,65.0,200.0
160,Leshohet banese me qira ne Arberi 2+1,Prishtine,2,80.0,350.0
161,Leshohet banese me qira te Bregu i Diellit,Prishtine,1,64.0,190.0
162,Leshohet banese me qira ne Emshir,Prishtine,1,55.0,250.0
163,Leshohet banese me qira ne Ulpiane 2+1,Prishtine,2,60.0,300.0
164,Leshohet banese me qira ne Ulpiane 2+1,Prishtine,2,60.0,300.0
165,Leshohet banese me qira ne Ulpiane,Prishtine,2,67.0,280.0
166,Banese me qira ne Breg te Diellit,Prishtine,1,54.0,200.0
167,Banese me qira ne Dardani 2+1,Prishtine,2,70.0,350.0
168,Banese me qira ne Aktash,Prishtine,2,86.0,250.0
169,Leshohet banese me qira ne Bregun e Diellit,Prishtine,1,65.0,200.0
170,Banese me qira ne Dardani ( te Santea ),Prishtine,2,80.0,270.0
171,Ekstra banese me qira te Sllovenia Sporti,Prishtine,2,130.0,500.0
172,Banese me qira ne Arberi 1+1,Prishtine,1,65.0,280.0
173,Banese me qira ne Lagjen e Muhagjerve 1+1,Prishtine,1,61.0,300.0
174,Super Banese me qera ne Arberi,Prishtine,1,55.0,280.0
175,Banes me qira ne Emshir e pa banuar me pare,Prishtine,2,75.0,350.0
176,Banese me qira e renovuar ne Dardani,Prishtine,2,75.0,250.0
177,Banes me qira ne Mati 1,Prishtine,2,75.0,350.0
178,Banese komode me qira ne Dardani,Prishtine,1,65.0,200.0
179,Banese me qira te Sllovenia Sporti 2+1,Prishtine,2,75.0,350.0
180,Banes me qira ne Dardani,Prishtine,1,65.0,290.0
181,Banes komode me qira ne Mati 1,Prishtine,1,63.0,200.0
182,Banes me qira ne Tophane 2+1,Prishtine,2,75.0,270.0
183,Banese moderne me qira ne Ulpiane,Prishtine,2,85.0,300.0
184,Super Oferte 2+1--350 ne ulpiane,Prishtine,2,70.0,350.0
185,Banes me qira ne Qender mobiluar,Prishtine,2,70.0,330.0
186,Banes moderne me qira ne Mati 1,Prishtine,2,75.0,280.0
187,Banes komode me qira ne Breg te Diellit,Prishtine,1,65.0,350.0
188,Banese me qira ne Mati 1 ndertim i ri,Prishtine,1,45.0,250.0
189,Banes me qira ne Emshir (banesat e arabve),Prishtine,1,50.0,200.0
190,Super ofert Banes me qira ne Mati 1 100m2-250,Prishtine,2,100.0,250.0
191,Banese komode me qira ne Breg te Diellit,Prishtine,1,55.0,250.0
192,Banes me qira ne Qender ndertim i ri,Prishtine,2,75.0,300.0
193,Banes me qira ne Dardani komode,Prishtine,1,65.0,300.0
194,Banese me qira ne Lagje te Spitalit 2+1,Prishtine,2,75.0,250.0
195,Banes me qira ne Lagje te Spitalit 2+1,Prishtine,2,75.0,220.0
196,Banese komode me qira ne Breg te Diellit,Prishtine,1,55.0,230.0
197,Banes me qira ne Ulpiane 2+1,Prishtine,2,75.0,300.0
198,Banes moderne me qira ne Emshir,Prishtine,2,90.0,400.0
199,Banes komode me qira ne Dardani,Prishtine,1,60.0,300.0
200,Banes me qira ne Ulpiane e renovuar,Prishtine,1,65.0,250.0
201,Banes ekskluzive me qira te Parku i Qytetit,Prishtine,2,95.0,700.0
202,Banes komode me qira ne Ulpiane,Prishtine,1,55.0,270.0
203,Banes me qira ne Dardani,Prishtine,1,55.0,250.0
204,Banes me qira ne Lagje te Spitalit 2+1,Prishtine,2,75.0,230.0
205,Banes komode me qira ne Lagje te Spitalit,Prishtine,1,60.0,200.0
206,Banes me qira te 4Llullat,Prishtine,1,65.0,250.0
207,Ektsra banese me qira,Prishtine,2,70.0,350.0
208,Banes me qira ne Ulpiane per zyre,Prishtine,1,65.0,400.0
209,Banese me qira ne Lagje te Muhaxhereve,Prishtine,1,50.0,250.0
210,Banes me qira ne Qender afer shkolles Sami Frasheri 2+1,Prishtine,2,75.0,200.0
211,Banes me qira ne Arberi 2+1,Prishtine,2,75.0,250.0
212,Banes me qira ne Ulpiane,Prishtine,1,65.0,250.0
213,Banes me qira ne Qender,Prishtine,2,100.0,400.0
214,Banes komode me qira ne Emshir,Prishtine,2,75.0,300.0
215,Banes me qira ne Dardani te Santea,Prishtine,1,65.0,200.0
216,Banes komode me qira ne Velani,Prishtine,1,65.0,230.0
217,Banes moderne me qira ne Qender- Pejton,Prishtine,2,75.0,380.0
218,Banes me qira ne Rrugen B,Prishtine,2,75.0,300.0
219,Banese me qira ne Lagjen Dardania 1+1,Prishtine,1,75.0,250.0
220,Banes komode me qira ne Lagje te Spitalit,Prishtine,1,60.0,250.0
221,Banes me qira ne Ulpiane,Prishtine,1,65.0,300.0
222,Banes me qira ne Lagje te Spitalit,Prishtine,2,130.0,200.0
223,Leshohet banese me qira ne lagjen Dardania,Prishtine,2,90.0,300.0
224,Banese me qira ne lagjen Dardania,Prishtine,2,82.0,350.0
225,Super banese me qira ne Qender,Prishtine,2,60.0,500.0
226,Ipet banese me qira ne lagjen Ulpiana,Prishtine,1,60.0,320.0
227,Leshohet banese me qira ne lagjen Tophane,Prishtine,1,75.0,250.0
228,Leshohet banese me qira ne lagjen Ulpiana,Prishtine,1,45.0,250.0
229,Leshohet banese me qira ne lagjen Arberia,Prishtine,1,70.0,330.0
230,Banese ( garsoniere ) me qira ne lagjen Arberia,Prishtine,1,45.0,200.0
231,Banese me qira ne lagjen Lakrishte,Prishtine,1,60.0,250.0
232,Leshohet banese me qira ne lagjen Dardania,Prishtine,1,65.0,300.0
233,Leshohet banese me qira ne Qender,Prishtine,1,50.0,300.0
234,Leshohet banese me qira ne lagjen Arberia,Prishtine,2,70.0,220.0
235,Leshohet banese me qira te Sllovenia Sporti,Prishtine,2,80.0,350.0
236,Ipet banese me qira ne lagjen e spitalit,Prishtine,2,70.0,300.0
237,Banese me qira ne lagjen Bregu i diellit,Prishtine,2,70.0,350.0
238,Ofrohet banese me qira ne Qender,Prishtine,2,80.0,350.0
239,Ipet banese me qira ne lagjen Pejton,Prishtine,2,90.0,450.0
240,Ofrohet banese me qira ne lagjen Bregu i diellit,Prishtine,1,60.0,200.0
241,Leshohet banese me qira ne Taslixhe,Prishtine,1,36.0,200.0
242,Leshohet banese me qira ne lagjen Bregu i diellit,Prishtine,1,60.0,250.0
243,Ofrohet banese me qira ne Rrugen B,Prishtine,2,55.0,250.0
244,Super banese me qira ne lagjen Arberia,Prishtine,2,110.0,500.0
245,Banese me qira ne lagjen Dardania,Prishtine,1,55.0,200.0
246,Leshohet banese me qira ne lagjen Bregu i diellit,Prishtine,1,65.0,250.0
247,Banese (garsoniere) me qira ne lagjen Ulpiana,Prishtine,1,30.0,200.0
248,Banese me qira ne lagjen Bregu i diellit,Prishtine,2,100.0,300.0
249,Leshohet banese me qira ne lagjen Ulpiana,Prishtine,1,55.0,250.0
250,Leshohet banese me qira te Qafa,Prishtine,1,50.0,300.0
251,Leshohet banese me qira ne lagjen Dardania,Prishtine,1,58.0,270.0
252,Leshohet banese me qira ne Emshir 1+1,Prishtine,2,85.0,300.0
253,Leshohet banese me qira te Bregu i Diellit 1+1,Prishtine,1,65.0,250.0
254,Leshohet banese me qira ne Ulpiane 1+1,Prishtine,1,50.0,250.0
255,Leshohet banese me qira ne lagjen Arberia,Prishtine,1,60.0,250.0
256,Leshohet banese me qira ne Tophane,Prishtine,1,58.0,250.0
257,Banese me qira ne Veternik,Prishtine,3,106.0,260.0
258,Banese me qira ne lagjen Dardania,Prishtine,2,100.0,250.0
259,Banese me qira ne Emshir 1+1,Prishtine,1,65.0,200.0
260,Banese me qira ne Emshir,Prishtine,2,85.0,280.0
261,Leshohet banese me qira ne Fushe Kosove 1+1,Fushe Kosove,1,55.0,220.0
262,Banese e re me qira ne Arberi,Prishtine,1,65.0,300.0
263,Leshohet super banese me qira ne Arberi 2+1,Prishtine,2,85.0,400.0
264,Banese me qira ne Emshir 2+1,Prishtine,2,72.0,300.0
265,Leshohet banese me qira ne Tophane,Prishtine,2,70.0,300.0
266,Banese me Qira ne Lagje te Spitalit,Prishtine,2,84.0,250.0
267,Banese me qira ne Arberi te Komuna e Re,Prishtine,1,70.0,300.0
268,Leshohet banese me qira te Parku i Qytetit,Prishtine,2,65.0,200.0
269,Leshohet banese me qira ne lagjen Arberia,Prishtine,2,90.0,300.0
270,Banes me qira te Qafa moderne,Prishtine,1,65.0,300.0
271,Banes me qira te 4 Llullat 2+1,Prishtine,2,78.0,300.0
272,Banese me qira ne lagjen Sllovenia Sporti,Prishtine,1,65.0,250.0
273,Banese ekskluzive me qira ne Arberi,Prishtine,2,80.0,500.0
274,Banese komode me qira ne Lagje te Muhaxhereve,Prishtine,1,65.0,250.0
275,Banese me qira te Qafa,Prishtine,1,70.0,300.0
276,Banese me qira te Sllovenia Sporti,Prishtine,1,60.0,200.0
277,Banes me qira ne Aktash 2+1,Prishtine,2,75.0,250.0
278,Banes me qira pre zyre,Prishtine,3,88.0,600.0
279,Banes me qira ne Tophane komode,Prishtine,1,60.0,250.0
280,Banese me qira ne Lagje te Spitalit 2+1,Prishtine,2,84.0,260.0
281,Banese komode me qira ne Breg te Diellit,Prishtine,1,65.0,200.0
282,Banese komode me qira ne Breg te Diellit,Prishtine,1,50.0,220.0
283,Banes moderne me qira ne ULPIANE,Prishtine,2,80.0,400.0
284,Banese me qira ne Breg te Diellit 2+1,Prishtine,2,105.0,300.0
285,Banes me qira ne lagjen Arberia 2+1,Prishtine,2,86.0,320.0
286,Banes me qira komode ne Emshir,Prishtine,2,75.0,230.0
287,Banese moderne me qira ne Emshir,Prishtine,1,55.0,230.0
288,Banesa me qira ne lagjen Arberia,Prishtine,1,58.0,250.0
289,Banes me qira te Sllovenia Sport,Prishtine,1,68.0,300.0
290,Banes me qira ne Tophane ndertim i ri,Prishtine,3,120.0,400.0
291,Banese me qira te Sllovnia Sporti me mobile te reja,Prishtine,2,115.0,400.0
292,Banese komode me qira ne Breg te Diellit,Prishtine,1,65.0,250.0
293,Banes me qira ne Rrugen B,Prishtine,2,96.0,300.0
294,Banes me qira ne Mati 1 kati i 1-re,Prishtine,2,75.0,250.0
295,Banes me qira te 4 Llullat,Prishtine,2,75.0,300.0
296,Banese me qira ne Breg te Diellit 2+1,Prishtine,2,75.0,260.0
297,Banes me qira ne Velani komode,Prishtine,1,55.0,200.0
298,Banes me qira ne Dardani te Santea,Prishtine,2,75.0,250.0
299,Banes me qira te Sllovenia Sporti 2+1,Prishtine,2,85.0,300.0
300,Banes me qira ne Lagje te Spitalit 2+1,Prishtine,2,75.0,250.0
301,Banes komode me qira ne Dragodan,Prishtine,1,65.0,300.0
302,Banes moderne me qira ne Arberi- komuna e re,Prishtine,1,67.0,350.0
303,Super ofert Banes komode me qira ne Arberi,Prishtine,1,55.0,230.0
304,Banes me qira ne Aktash 2+1,Prishtine,2,75.0,250.0
305,Banes me qira ne Tophane 2+1,Prishtine,2,90.0,310.0
306,Banese moderne e qira ne Lagje te Muhaxhereve,Prishtine,1,50.0,250.0
307,Banes komode me qira ne Mati 1,Prishtine,1,65.0,180.0
308,Banese me qira ne Lagje te Spitalit banesat e Royalit,Prishtine,2,75.0,350.0
309,Banes me qira te Sllovenia Sport,Prishtine,1,65.0,270.0
310,Banes komode me qira te Parku i Qytetit,Prishtine,1,65.0,250.0
311,Banes me qira ne Tophane,Prishtine,1,66.0,300.0
312,Banes me qira ne Lakrishte,Prishtine,1,65.0,350.0
313,Banese komode me qira ne Lakrishte,Prishtine,1,63.0,320.0
314,Banes me qira ne Lagje te Spitalit 3+1,Prishtine,3,100.0,330.0
315,SUPER Banese me qera Royal_Termokos,Prishtine,1,62.0,280.0
316,Leshoj Banese moderne _Super Oferte,Prishtine,2,75.0,250.0
317,Banes moderne me qira te Qafa,Prishtine,1,65.0,260.0
318,Banes moderne me qira Tophane 2+1,Prishtine,2,90.0,370.0
319,Banes me qira ne Qender te Sheshi ZAHIR PAJAZITI,Prishtine,1,65.0,300.0
320,Banes me qira ne Lakrishte,Prishtine,1,45.0,280.0
321,Banes me qira ne Emshir 2+1,Prishtine,2,80.0,250.0
322,Banes me qira ne Mati 1,Prishtine,2,75.0,250.0
323,Banese moderne me qira ne PEJTON,Prishtine,2,75.0,350.0
324,Banes me qira ne Arberi qmim te volitshem,Prishtine,2,80.0,320.0
325,Banes me qira te Hotel Siriusi 250,Prishtine,1,60.0,250.0
326,Leshohet banese me qira ne lagjen Tophane,Prishtine,1,55.0,250.0
327,Leshohet banese me qira te 4 Llullat,Prishtine,1,55.0,250.0
328,Leshohet banese me qira ne lagjen Bregu i diellit,Prishtine,1,65.0,300.0
329,Banese me qira ne Lagjen e Spitalit,Prishtine,1,60.0,180.0
330,Ipet banese me qira ne Lagjen e Spitalit,Prishtine,2,90.0,300.0
331,Ipet banese me qira ne lagjen Dardania,Prishtine,1,65.0,350.0
332,Leshohet banese me qira ne lagjen Arberia,Prishtine,1,50.0,200.0
333,Banesa 64m2 me qira te Muharrem Fejza ROZI,Prishtine,2,64.0,350.0
334,Banesa 64m2 me qira te Muharrem Fejza ROZI,Prishtine,1,64.0,400.0
335,Banesa 70m2 me qira ne Lakrishte ROZI,Prishtine,2,70.0,350.0
336,Leshohet banese me qira ne lagjen Emshir,Prishtine,2,85.0,300.0
337,Ofrohet banese ( Garsoniere ) me qira ne Qender,Prishtine,1,35.0,160.0
338,Ipet banese me qira ne lagjen Mati 1,Prishtine,2,76.0,350.0
339,Leshohet banese me qira ne Qender,Prishtine,1,56.0,260.0
340,Leshohet banese me qira ne Qender,Prishtine,2,65.0,350.0
341,Leshohet banese me qira ne Emshir,Prishtine,1,65.0,250.0
342,Ofrohet banese me qira ne lagjen Arberia,Prishtine,1,55.0,250.0
343,Leshohet banese me qira ne lagjen Pejton,Prishtine,1,60.0,300.0
344,Ofrohet banese me qira ne lagjen Dardania,Prishtine,2,70.0,300.0
345,Leshohet banese me qira ne lagjen Bregu i diellit,Prishtine,2,75.0,250.0
346,Ekstra banese me qira ne lagjen Arberia,Prishtine,3,97.0,400.0
347,Ofrohet banese me qira ne lagjen Arberia,Prishtine,1,65.0,240.0
348,Leshohet banese me qira ne lagjen Ulpiana,Prishtine,1,40.0,250.0
349,Leshohet banese ( garsoniere ) me qira te Qafa,Prishtine,1,30.0,200.0
350,Leshohet banese me qira te Qafa,Prishtine,2,90.0,300.0
351,Banese luksoze me qira ne lagjen Arberia,Prishtine,2,90.0,500.0
352,Banese me qira ne Bregun e diellit,Prishtine,1,55.0,200.0
353,Leshohet banese me qira ne lagjen Arberia,Prishtine,2,75.0,280.0
354,Banese luksoze me qira ne lagjen Arberia,Prishtine,2,90.0,500.0
355,Ipet banese me qira ne Rrugen B,Prishtine,1,75.0,270.0
356,Leshohet super banese me qira ne Arberi 2+1,Prishtine,2,75.0,350.0
357,Leshohet banese ( Garsoniere ) me qira ne Qender,Prishtine,1,30.0,220.0
358,Banese me qira ne Arberi 2+1,Prishtine,2,100.0,350.0
359,Leshohet banese me qira ne Qender 1+1,Prishtine,1,50.0,200.0
360,Banese ( garsoniere) me qira ne Lagje te Spitalit,Prishtine,1,30.0,200.0
361,Leshohet banese me qira te Mati 1 2+1,Prishtine,2,86.0,300.0
362,Leshohet Ekstra banese me qira ne Arberi,Prishtine,5,225.0,2200.0
363,Banese me qira ne Qender,Prishtine,1,65.0,300.0
364,Leshohet banese me Qira te Qafa 1+1,Prishtine,1,55.0,280.0
365,Leshohet banese me qira ne Velani 2+1,Prishtine,2,80.0,200.0
366,Leshohet banese me qira ne Ulpiane 2+1,Prishtine,2,75.0,270.0
367,Leshohet banese me qira ne Lagjen e Muhagjerve 1+1,Prishtine,1,60.0,250.0
