,property_description,number of rooms,quadrat (m^2),date,price (euro),region_Prishtine,region_other region in kosove,seasons_Autumn,seasons_Spring,seasons_Summer,seasons_Winter,neighborhood_Aktash,neighborhood_Arbëria (Dragodani),neighborhood_Bregu i Diellit,neighborhood_Dardania,neighborhood_Kalabria,neighborhood_Lagjen e Spitalit,neighborhood_Lagjja e Muhaxherëve,neighborhood_Lakrishta,neighborhood_Other,neighborhood_Qafa,neighborhood_Qendra,neighborhood_Tophane,neighborhood_Ulpiana
100,banese me qira ne lagjen arberia21,1,85.0,2023-07-10,380.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,banese me qira ne lagjen e muhaxhereve 21,2,95.0,2023-07-10,400.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,jap banesen me qera ne prishtine,2,40.0,2023-07-10,170.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,banesa me qera te parku i qytetit mahalla e muhaxherve,3,90.0,2023-07-10,340.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,banese me qira ne lagjen mati 1 21,2,3453.374379723643,2023-07-10,500.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,banese me qira ne lagjen pejton 21,2,90.0,2023-07-10,700.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,banese me qira ne lagjen arberia 21,2,90.0,2023-07-10,450.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,banese me qira ne lagjen mati 1 11,1,60.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,banese me qira ne lagjen parku i qytetit 21,2,100.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,banese me qira ne lagjen ulpiane 11,1,40.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,banese me qira ne lagjen mati 1 21,2,78.0,2023-07-10,330.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,banese me qira ne lagjen ulpiane 21,2,50.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,banese me qira ne lagjen e spitalit 21,2,80.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,banese me qira ne lagjen velania 21,2,85.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114,banese me qira ne lagjen bregu i diellit 21,2,70.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,banese me qira ne lagjen sllovenia e sportit 21,2,95.0,2023-07-10,370.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,banese me qira ne lagjen rruga b 21,2,75.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,banese me qira ne lagjen aktash 11,1,40.0,2023-07-10,200.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,banese me qira ne lagjen ulpiane 11,1,55.0,2023-07-10,280.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,banese me qira ne lagjen parku i qytetit 11,1,60.0,2023-07-10,230.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,banese me qira ne lagjen 4 llullat 11,1,42.0,2023-07-10,200.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
121,banese me qira ne lagjen qender 21,2,75.0,2023-07-10,270.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
122,banesgasoniereme qira ne lagjen pejton,1,40.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
123,banese me qira ne lagjen bregu i diellit 21,2,90.0,2023-07-10,400.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,banese me qira ne lagjen mati 1 11,1,76.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,banese me qira ne lagjen mati 1 11,1,73.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,banese me qira ne lagjen qafa 11,1,60.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127,banes zyre me qira ne rrugen b 11,1,68.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,banese me qira ne lagjen arberia 21,2,90.0,2023-07-10,350.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,banese me qira ne lagjen dardani 11,1,54.0,2023-07-10,230.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,banese me qira ne lagjen dardania 11,1,70.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,banese me qira ne lagjen ulpiane 31,3,120.0,2023-07-10,450.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,banese me qira ne lagjen e muhaxherve 31,3,100.0,2023-07-10,450.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133,banese me qira ne lagjen arberia 11,1,55.0,2023-07-10,300.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,banese  garsoniere  me qira ne ulpiane,1,30.0,2023-07-10,200.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,banese me qira ne lagjen lagje e spitalit 21,2,87.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
136,banese me qira ne lagjen mati 1 11,1,66.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,banese me qira ne lagjen bregu i diellit 11,1,65.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,banese me qira ne lagjen tophane 11,1,65.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
139,banese me qira ne lagjen arberia 21,2,85.0,2023-07-10,400.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,banese me qira ne lagjen dardania 11,1,60.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141,banese me qira ne lagjen ulpiane 11,1,240.0,2023-07-10,240.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,banese me qira ne lagjen qender 11,1,60.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,banese me qira ne lagjen qafa 11,1,70.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144,banese me qira ne lagjen mati 1 11,1,50.0,2023-07-10,270.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,banese me qira ne lagjen ulpiane 11,1,50.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,banese me qira ne lagjen arberia 11,1,57.0,2023-07-10,250.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147,banese me qira ne lagjen bregu i diellit 21,2,50.0,2023-07-10,230.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
148,banese me qira ne lagjen mati 1 11,1,55.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
149,banese me qira ne lagjen arberia 11,1,73.0,2023-07-10,330.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,banese me qira ne lagjen 4 llullat 21,2,90.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,banese me qira ne lagjen rruga c 11,1,65.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152,banese me qira ne lagjen qender 11,1,30.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
153,banese me qira ne lagjen dardania 21,2,65.0,2023-07-10,320.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
154,banese me qira ne lagjen ulpiane 21,2,70.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,banesgarsoniere me qira n lagjen qender prapa hotel sirius 3443,1,20.0,2023-07-10,200.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
156,banes me qira ne lakrishte 21,2,85.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
157,banes komode me qira ne pejton,1,40.0,2023-07-10,200.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
158,banes me qira ne arberi moderne,2,75.0,2023-07-10,300.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
159,banes me qira ne ulpiane e renovuar,1,60.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,banes penthause me qira mrapa teatrit,2,100.0,2023-07-10,350.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
161,banes me qira te slovenia sporti,1,60.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
162,banese komode me qira ne dardani,1,60.0,2023-07-10,220.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
163,banes me qira te sllovenia sportit,2,70.0,2023-07-10,320.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
164,super banese me qira te sllovenia sporti,2,100.0,2023-07-10,500.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165,super banese me qira ne lagjen sllovenia sporti,2,100.0,2023-07-10,500.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
166,garsoniere me qira te sllovenia sporti,1,45.0,2023-07-10,200.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
167,banes me qira ne dardani e renovuar,1,65.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
168,banese moderne me qira ne lagjen muhaxhereve,2,90.0,2023-07-10,400.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
169,banes komode me qira ne mati 1,1,65.0,2023-07-10,200.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,banese komode me qira ne lagje te spitalit,1,60.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,banes me qira te parku i qytetit 21,2,85.0,2023-07-10,500.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
172,banes me qira ne tophane,1,40.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
173,banese moderne me qira ne lagjen sllovenia sporti,1,65.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
174,banese moderne me qira mrapa teatrit,2,80.0,2023-07-10,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
175,banese me qira ne lagjen arberia 21,2,110.0,2023-07-10,350.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
176,banes komode me qira ne ulpian,1,65.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,banes me qira te sllovenia sporti,1,65.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
178,banese komode ne lagjen sllovenia sporti,1,55.0,2023-07-10,250.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,banes me qira ne breg te diellit 21,2,90.0,2023-07-10,280.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
